"date","permit_number","permit_type","status","address","short_notes",
"10/04/2024","ROOF24-0099","Re-Roof","Open","3626 N 113TH ST, KANSAS CITY KS 66109",,
"10/04/2024","PLM24-0822","Plumbing Permit","Plans Not Required","2636 N 20TH ST, KANSAS CITY KS 66104",,
"10/04/2024","OCC24-0102","Business Occupancy","Open","7634 LEAVENWORTH RD, KANSAS CITY KS 66109",,
"10/04/2024","OCC24-0101","Business Occupancy","Open","10401 CABELA DR, KANSAS CITY KS 66111",,
"10/04/2024","PLM24-0821","Plumbing Permit","Issued","8919 LEAVENWORTH RD, KANSAS CITY KS 66109",,
"10/04/2024","MEC24-0448","Mechanical Permit","Issued","8919 LEAVENWORTH RD, KANSAS CITY KS 66109",,
"10/04/2024","ELE24-1050","Electrical Permit","Issued","8919 LEAVENWORTH RD, KANSAS CITY KS 66109",,
"10/04/2024","ELE24-1049","Electrical Permit","Issued","1011 N 29TH ST, KANSAS CITY KS 66102",,
"10/04/2024","ELE24-1048","Electrical Permit","Issued","1935 N 31ST ST, KANSAS CITY KS 66104",,
"10/04/2024","BSR24-0155","Stop Work Order","Pending","1528 LAKE AVE, KANSAS CITY KS 66103",,
"10/04/2024","BSR24-0154","Stop Work Order","Pending","2628 S 53RD ST, KANSAS CITY KS 66106",,
"10/04/2024","PLM24-0820","Plumbing Permit","Issued","930 OHIO AVE, KANSAS CITY KS 66101",,
"10/04/2024","PLM24-0819","Plumbing Permit","Issued","8523 PARALLEL PKWY, APT 12, KANSAS CITY KS 66112",,
"10/04/2024","ELE24-1047","Electrical Permit","Issued","9027 HASKELL AVE, KANSAS CITY KS 66109",,
"10/04/2024","BSR24-0153","Stop Work Order","Pending","4219 DODSON AVE, KANSAS CITY KS 66106",,
"10/04/2024","ELE24-1046","Electrical Permit","Issued","1864 N 26TH ST, KANSAS CITY KS 66104",,
"10/04/2024","ROOF24-0098","Re-Roof","Open","1501 N 47TH ST, KANSAS CITY KS 66102",,
"10/04/2024","ROOF24-0097","Re-Roof","Issued","915 S 8TH ST, KANSAS CITY KS 66105",,
"10/04/2024","ELE24-1045","Electrical Permit","Issued","4742 PARKVIEW AVE, KANSAS CITY KS 66104",,
"10/04/2024","GRD24-0119","Grading-Excavation","Fees Not Required","20 S CHEROKEE ST, KANSAS CITY KS 66103",,
